,mbti,function_pair,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,major_count,minor_count,mind,energy_aspect,nature,tactics
16,INFP,NF,0.6509556090702822,0.39758162183983453,0.3697610824826504,0.5976684427499057,0.6638180512001337,0.014731488820214507,0.23950194072222436,17.0,2.0,Introvert,Intuitive,Feeling,Prospecting
17,INFP,NF,0.6844855858238561,0.4821332694151486,0.6076795694473195,0.737255370670193,0.353533302142029,0.05466964930012725,0.20766311548630373,38.0,12.0,Introvert,Intuitive,Feeling,Prospecting
18,INFP,NF,0.6645146786564402,0.39332933844678813,0.4374249637756157,0.7000890049249392,0.6756707825627047,0.0848493894928194,0.23552599236206437,43.0,7.0,Introvert,Intuitive,Feeling,Prospecting
19,INFP,NF,0.6508754297804813,0.5562559923298177,0.5800289795073484,0.7013004325921907,0.35141683109908667,0.08514500396291583,0.3071421291494553,40.0,10.0,Introvert,Intuitive,Feeling,Prospecting
20,INFP,NF,0.6499338799259456,0.4795648236923404,0.5511626302352861,0.6758359634524116,0.3404815107892531,0.2671359835181482,0.25537056910146677,34.0,11.0,Introvert,Intuitive,Feeling,Prospecting
21,INFP,NF,0.7048730494578154,0.459650219148062,0.34191013395629416,0.517240617246127,0.6654766384879387,0.06689471005271769,0.21424952873133024,27.0,1.0,Introvert,Intuitive,Feeling,Prospecting
22,INFP,NF,0.6420587146257605,0.44617449664429537,0.6677499482508797,0.7637525041464992,0.23976251612115793,0.11835246064351937,0.2793661832504991,24.0,26.0,Introvert,Intuitive,Feeling,Prospecting
23,INFP,NF,0.7515868817773076,0.5766059443911793,0.5343614158559304,0.7737943505889865,0.5494558473524686,0.028890759134702782,0.2730472005227849,46.0,4.0,Introvert,Intuitive,Feeling,Prospecting
24,INFP,NF,0.6572070880719387,0.4155632790028764,0.5341150900434692,0.7068455241824967,0.36481010598262786,0.01565302904926377,0.22713565429049337,42.0,8.0,Introvert,Intuitive,Feeling,Prospecting
25,INFP,NF,0.664157630256546,0.4711792905081495,0.5408176361001863,0.674855458827452,0.38378510343985844,0.12011517011452465,0.25802612725495955,31.0,19.0,Introvert,Intuitive,Feeling,Prospecting
26,INFP,NF,0.6519227717535043,0.4568264621284755,0.6054026081556614,0.7366154958987096,0.3258897455196404,0.05436872764951827,0.2282537665093914,33.0,17.0,Introvert,Intuitive,Feeling,Prospecting
27,INFP,NF,0.5434514678656441,0.44099952061361464,0.7071413785965638,0.7125911735369992,0.17167703797880352,0.16005459014724596,0.2772078969298377,35.0,15.0,Introvert,Intuitive,Feeling,Prospecting
28,INFP,NF,0.7162628934144408,0.5296356663470756,0.6329766093976402,0.7071886028487226,0.3142578164730771,0.21682053735684423,0.2917553462550733,30.0,20.0,Introvert,Intuitive,Feeling,Prospecting
29,INFP,NF,0.7072652737371067,0.5563231064237776,0.5799739184433864,0.6612417741083261,0.3361361500437357,0.12205750394473733,0.25674014832223196,36.0,14.0,Introvert,Intuitive,Feeling,Prospecting
30,INFP,NF,0.869916383537119,0.719494431742754,0.8153671002977564,0.8619731402915406,0.08314441208824733,0.003003947534014761,0.2485833940159205,10.0,16.0,Introvert,Intuitive,Feeling,Prospecting
31,INFP,NF,0.6727743983073262,0.4758533077660595,0.6039329331401366,0.7043308383698819,0.3982838544315386,0.06294060687147791,0.19245918740520027,36.0,14.0,Introvert,Intuitive,Feeling,Prospecting
32,INFP,NF,0.7076461253636604,0.47758149568552244,0.5425419167874146,0.7460321604462115,0.5298277019467443,0.06038140999818204,0.2609248256884034,36.0,14.0,Introvert,Intuitive,Feeling,Prospecting
33,INFP,NF,0.7744855858238562,0.6215508149568552,0.7016083626578349,0.7447928163136137,0.17351571838320545,0.1715411949827304,0.2835028986984334,29.0,21.0,Introvert,Intuitive,Feeling,Prospecting
